,Unnamed: 0.1,Unnamed: 0,Регион,Округ,Год,"Направления реализации","Номер строки","Бюджет СРФ, руб","Бюджет МО, руб",Кол-во грантов,"Бюджет грантов, руб","Численность молодежи","Количество детских и молодeжных общественных объединений, работающих по данному ",Unnamed: 11,Unnamed: 12,Unnamed: 13
0,0,0,Алтайский край,СФО,2021.0,"Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:",1.0,=SUM(F3:F8),=SUM(G3:G8),=SUM(H3:H8),=SUM(I3:I8),=SUM(J3:J8),=SUM(K3:K8),,,
1,1,1,Алтайский край,СФО,2021.0,      биомедицина,2.0,0,0,0,0,0,0,,,
2,2,2,Алтайский край,СФО,2021.0,"      промышленные технологии
      (нанотехнологии, композиты, пр.)",3.0,0,0,0,0,10,0,,,
3,3,3,Алтайский край,СФО,2021.0,      аэрокосмос,4.0,0,0,0,0,28,1,,,
4,4,4,Алтайский край,СФО,2021.0,      сельское хозяйство,5.0,0,1000,0,0,247,0,,,
5,5,5,Алтайский край,СФО,2021.0,"      информационные технологии - IT
      (в том числе робототехника)",6.0,0,86600,0,0,1879,28,,,
6,6,6,Алтайский край,СФО,2021.0,      другое,7.0,7176890,35485,4,35485,1681,15,,,
7,7,7,Алтайский край,СФО,2021.0,"Социализация молодeжи, нуждающейся в особой заботе государства",8.0,50000,194948,1,119000,3431,73,,,
8,8,8,Алтайский край,СФО,2021.0,Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа),9.0,1006370,151900,3,106900,6214,141,,,
9,9,9,Алтайский край,СФО,2021.0,Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики,10.0,4049340,16700,0,0,45,,,,
10,10,10,Алтайский край,СФО,2021.0,Развитие международного и межрегионального молодeжного сотрудничества,11.0,26949320,39200,0,0,3113,18,,,
11,11,11,Алтайский край,СФО,2021.0,"Работа с молодeжью, находящейся в социально-опасном положении",12.0,300000,630502,1,50000,6969,194,,,
12,12,12,Алтайский край,СФО,2021.0,Вовлечение молодeжи в занятие творческой деятельностью,13.0,2305420,1293410,7,184519,145450,729,,,
13,13,13,Алтайский край,СФО,2021.0,Содействие профориентации и карьерным устремлениям молодeжи,14.0,4500870,1654282,2,86000,9085,95,,,
14,14,14,Алтайский край,СФО,2021.0,Поддержка и взаимодействие с общественными организациями и движениями,15.0,0,1832411,18,1599408,41086,,,,
15,15,15,Алтайский край,СФО,2021.0,Формирование у молодeжи семейных ценностей,16.0,210090,281176,4,209581,16215,102,,,
16,16,16,Алтайский край,СФО,2021.0,"Патриотическое воспитание молодeжи, в том числе:",17.0,=SUM(F19:F24),=SUM(G19:G24),=SUM(H19:H24),=SUM(I19:I24),=SUM(J19:J24),=SUM(K19:K24),25900.0,,
17,17,17,Алтайский край,СФО,2021.0,"      на развитие и мероприятия
      военно-патриотических клубов",18.0,511200,946568,3,150000,8673,153,,,
18,18,18,Алтайский край,СФО,2021.0,      поисковых отрядов и объединений,19.0,710420,130000,0,0,1297,14,,,
19,19,19,Алтайский край,СФО,2021.0,      историко-краеведческих кружков и объединений исторической реконструкции,20.0,11000,92000,0,0,2549,57,,,
20,20,20,Алтайский край,СФО,2021.0,      молодeжных казачьих объединений,21.0,0,0,0,0,253,12,,,
21,21,21,Алтайский край,СФО,2021.0,"      волонтeрских объединений в сфере
      патриотического воспитания детей
      и молодeжи",22.0,92190,390010,0,0,30875,354,,,
22,22,22,Алтайский край,СФО,2021.0,      другие,23.0,418930,2221458,2,40000,80353,44,,,
23,23,23,Алтайский край,СФО,2021.0,"Формирование российской идентичности, единства российской нации, содействие межкультурному и межконфессиональному диалогу",24.0,1300000,536621,1,49581,35018,171,,,
24,24,24,Алтайский край,СФО,2021.0,Вовлечение молодeжи в волонтeрскую деятельность,25.0,9589740,608421,5,159000,92522,640,,,
25,25,25,Алтайский край,СФО,2021.0,"Вовлечение молодeжи в здоровый образ жизни и занятия спортом, популяризация культуры безопасности в молодeжной среде",26.0,89320,4270546,9,358000,98668,675,,,
26,26,26,Алтайский край,СФО,2021.0,Развитие молодeжного самоуправления,27.0,566950,230828,1,24000,8418,,,,
27,27,27,Амурская область,ДФО,2021.0,"Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:",1.0,=SUM(F30:F35),=SUM(G30:G35),=SUM(H30:H35),=SUM(I30:I35),=SUM(J30:J35),=SUM(K30:K35),,,
28,28,28,Амурская область,ДФО,2021.0,      биомедицина,2.0,0,0,0,0,131,1,,,
29,29,29,Амурская область,ДФО,2021.0,"      промышленные технологии
      (нанотехнологии, композиты, пр.)",3.0,0,0,0,0,0,0,,,
30,30,30,Амурская область,ДФО,2021.0,      аэрокосмос,4.0,0,0,2,245700,178,2,,,
31,31,31,Амурская область,ДФО,2021.0,      сельское хозяйство,5.0,0,20000,0,0,220,1,,,
32,32,32,Амурская область,ДФО,2021.0,"      информационные технологии - IT
      (в том числе робототехника)",6.0,0,3384613,0,0,2529,40,,,
33,33,33,Амурская область,ДФО,2021.0,      другое,7.0,0,428583,0,0,9285,11,,,
34,34,34,Амурская область,ДФО,2021.0,"Социализация молодeжи, нуждающейся в особой заботе государства",8.0,0,244344,1,186220,4005,42,,,
35,35,35,Амурская область,ДФО,2021.0,Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа),9.0,0,331709,0,0,1223,57,,,
36,36,36,Амурская область,ДФО,2021.0,Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики,10.0,0,1700,0,0,56,,,,
37,37,37,Амурская область,ДФО,2021.0,Развитие международного и межрегионального молодeжного сотрудничества,11.0,0,0,0,0,704,1,,,
38,38,38,Амурская область,ДФО,2021.0,"Работа с молодeжью, находящейся в социально-опасном положении",12.0,0,612472,2,20000,7542,50,,,
39,39,39,Амурская область,ДФО,2021.0,Вовлечение молодeжи в занятие творческой деятельностью,13.0,580000,1150067,3,60000,223174,461,,,
40,40,40,Амурская область,ДФО,2021.0,Содействие профориентации и карьерным устремлениям молодeжи,14.0,2007150,462808,0,0,13959,44,,,
41,41,41,Амурская область,ДФО,2021.0,Поддержка и взаимодействие с общественными организациями и движениями,15.0,0,559439,3,293830,14085,,,,
42,42,42,Амурская область,ДФО,2021.0,Формирование у молодeжи семейных ценностей,16.0,0,777447,0,0,8679,52,,,
43,43,43,Амурская область,ДФО,2021.0,"Патриотическое воспитание молодeжи, в том числе:",17.0,=SUM(F46:F51),=SUM(G46:G51),=SUM(H46:H51),=SUM(I46:I51),=SUM(J46:J51),=SUM(K46:K51),,,
44,44,44,Амурская область,ДФО,2021.0,"      на развитие и мероприятия
      военно-патриотических клубов",18.0,35000,663109,0,0,6935,87,,,
45,45,45,Амурская область,ДФО,2021.0,      поисковых отрядов и объединений,19.0,0,10000,0,0,3115,11,,,
46,46,46,Амурская область,ДФО,2021.0,      историко-краеведческих кружков и объединений исторической реконструкции,20.0,0,39000,0,0,785,32,,,
47,47,47,Амурская область,ДФО,2021.0,      молодeжных казачьих объединений,21.0,0,10000,0,0,84,4,,,
48,48,48,Амурская область,ДФО,2021.0,"      волонтeрских объединений в сфере
      патриотического воспитания детей
      и молодeжи",22.0,755000,119329,0,0,11393,115,,,
49,49,49,Амурская область,ДФО,2021.0,      другие,23.0,280000,852931,0,0,13866,35,,,
50,50,50,Амурская область,ДФО,2021.0,"Формирование российской идентичности, единства российской нации, содействие межкультурному и межконфессиональному диалогу",24.0,180000,351733,0,0,19750,38,,,
51,51,51,Амурская область,ДФО,2021.0,Вовлечение молодeжи в волонтeрскую деятельность,25.0,1450000,1805650,0,0,32259,145,,,
52,52,52,Амурская область,ДФО,2021.0,"Вовлечение молодeжи в здоровый образ жизни и занятия спортом, популяризация культуры безопасности в молодeжной среде",26.0,0,3059463,6,580300,68264,296,,,
53,53,53,Амурская область,ДФО,2021.0,Развитие молодeжного самоуправления,27.0,675000,788110,0,0,14173,,,,
54,54,54,Архангельская область,СЗФО,2021.0,"Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:",1.0,=SUM(F57:F62),=SUM(G57:G62),=SUM(H57:H62),=SUM(I57:I62),=SUM(J57:J62),=SUM(K57:K62),,,
55,55,55,Архангельская область,СЗФО,2021.0,      биомедицина,2.0,0,0,0,0,210,1,,,
56,56,56,Архангельская область,СЗФО,2021.0,"      промышленные технологии
      (нанотехнологии, композиты, пр.)",3.0,0,0,0,0,62,1,,,
57,57,57,Архангельская область,СЗФО,2021.0,      аэрокосмос,4.0,0,0,0,0,0,,,,
58,58,58,Архангельская область,СЗФО,2021.0,      сельское хозяйство,5.0,0,0,0,0,0,,,,
59,59,59,Архангельская область,СЗФО,2021.0,"      информационные технологии - IT
      (в том числе робототехника)",6.0,0,148300,0,0,18877,859,,,
60,60,60,Архангельская область,СЗФО,2021.0,      другое,7.0,0,0,0,0,390,15,,,
61,61,61,Архангельская область,СЗФО,2021.0,"Социализация молодeжи, нуждающейся в особой заботе государства",8.0,23700,172993.81,12,1734111,2199,17,,,
62,62,62,Архангельская область,СЗФО,2021.0,Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа),9.0,5527921.5,411871.4,14,1268931,3368,43,,,
63,63,63,Архангельская область,СЗФО,2021.0,Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики,10.0,850000,166300,0,0,30,,,,
64,64,64,Архангельская область,СЗФО,2021.0,Развитие международного и межрегионального молодeжного сотрудничества,11.0,965801.3,41943.7,0,0,704,21,,,
65,65,65,Архангельская область,СЗФО,2021.0,"Работа с молодeжью, находящейся в социально-опасном положении",12.0,11300,879531,4,579581,2288,39,,,
66,66,66,Архангельская область,СЗФО,2021.0,Вовлечение молодeжи в занятие творческой деятельностью,13.0,32938134.34,2077161.8399999999,21,2127094,63703,3371,,,
67,67,67,Архангельская область,СЗФО,2021.0,Содействие профориентации и карьерным устремлениям молодeжи,14.0,19229123.72,1034738,10,1480501,24037,24,,,
68,68,68,Архангельская область,СЗФО,2021.0,Поддержка и взаимодействие с общественными организациями и движениями,15.0,36280176.2,212200,25,8673136,70982,,,,
69,69,69,Архангельская область,СЗФО,2021.0,Формирование у молодeжи семейных ценностей,16.0,235500,516907.8,2,192100,9779,36,,,
70,70,70,Архангельская область,СЗФО,2021.0,"Патриотическое воспитание молодeжи, в том числе:",17.0,=SUM(F73:F78),=SUM(G73:G78),=SUM(H73:H78),=SUM(I73:I78),=SUM(J73:J78),=SUM(K73:K78),,,
71,71,71,Архангельская область,СЗФО,2021.0,"      на развитие и мероприятия
      военно-патриотических клубов",18.0,10000000,1499003,8,1554591,27980,675,,,
72,72,72,Архангельская область,СЗФО,2021.0,      поисковых отрядов и объединений,19.0,18922,453266,1,300000,692,23,,,
73,73,73,Архангельская область,СЗФО,2021.0,      историко-краеведческих кружков и объединений исторической реконструкции,20.0,0,0,1,90000,5078,247,,,
74,74,74,Архангельская область,СЗФО,2021.0,      молодeжных казачьих объединений,21.0,0,0,0,0,0,0,,,
75,75,75,Архангельская область,СЗФО,2021.0,"      волонтeрских объединений в сфере
      патриотического воспитания детей
      и молодeжи",22.0,242208,179005,5,248020,9428,289,,,
