,"Названия строк","Сумма по полю Бюджет СРФ, руб","Сумма по полю Бюджет МО, руб",Сумма по полю Кол-во грантов,"Сумма по полю Бюджет грантов, руб","Численность молодежи","Сумма по полю Количество детских и молодeжных общественных объединений, работающих по данному "
0,"Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:",982469474.0,170598050.0,1117.0,553443996.0,1737632.0,9337.0
1,      биомедицина,35173484.0,3195230.0,55.0,13311837.0,22418.0,105.0
2,"      промышленные технологии
      (нанотехнологии, композиты, пр.)",59792583.0,2824921.0,116.0,29842264.0,125784.0,214.0
3,      аэрокосмос,19111750.0,975286.0,40.0,2601965.0,34937.0,79.0
4,      сельское хозяйство,170691937.0,15548670.0,140.0,361437104.0,63359.0,506.0
5,"      информационные технологии - IT
      (в том числе робототехника)",359738388.0,80311877.0,109.0,51254088.0,808328.0,5299.0
6,      другое,337961332.0,67742066.0,657.0,94996738.0,682806.0,3134.0
7,"Социализация молодeжи, нуждающейся в особой заботе государства",2338133042.0,79279939.81,270.0,179924054.0,558472.0,2789.0
8,Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа),136377944.5,34340098.4,154.0,50692361.0,1362851.0,4798.0
9,Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики,84481354.0,33676825.0,14.0,5121533.0,28020.0,0.0
10,Развитие международного и межрегионального молодeжного сотрудничества,262157834.3,28848981.7,125.0,51024533.0,387420.0,911.0
11,"Работа с молодeжью, находящейся в социально-опасном положении",475026372.0,195126850.0,257.0,65166542.0,919995.0,5283.0
12,Вовлечение молодeжи в занятие творческой деятельностью,1359497360.3400002,1583428213.8400002,813.0,298314076.0,12186213.0,47073.0
13,Содействие профориентации и карьерным устремлениям молодeжи,626460232.72,400449776.0,798.0,253376429.0,2810409.0,6342.0
14,Поддержка и взаимодействие с общественными организациями и движениями,754650357.2,119639006.0,597.0,274563559.0,4090905.0,0.0
15,Формирование у молодeжи семейных ценностей,572199366.0,297218315.8,152.0,54282242.0,2345310.0,4668.0
16,"Патриотическое воспитание молодeжи, в том числе:",1431430133.0,434466264.0,760.0,371265050.0,15310098.0,74477.0
17,"      на развитие и мероприятия
      военно-патриотических клубов",233982247.0,176410320.0,146.0,90461514.0,3318240.0,31242.0
18,      поисковых отрядов и объединений,85921509.0,23425644.0,97.0,45344801.0,206615.0,2469.0
19,      историко-краеведческих кружков и объединений исторической реконструкции,179480086.0,17334348.0,58.0,32248786.0,478899.0,6798.0
20,      молодeжных казачьих объединений,17449309.0,13567508.0,28.0,9662479.0,186092.0,1089.0
21,"      волонтeрских объединений в сфере
      патриотического воспитания детей
      и молодeжи",29668547.0,31265300.0,81.0,19861769.0,1625483.0,26067.0
22,      другие,884928435.0,172463144.0,350.0,173685701.0,9494769.0,6812.0
23,"Формирование российской идентичности, единства российской нации, содействие межкультурному и межконфессиональному диалогу",318765416.0,82688432.0,411.0,1243518351.0,4551879.0,5121.0
24,Вовлечение молодeжи в волонтeрскую деятельность,584860439.0,180878206.0,505.0,163432005.0,8958347.0,24998.0
25,"Вовлечение молодeжи в здоровый образ жизни и занятия спортом, популяризация культуры безопасности в молодeжной среде",4670878645.0,900061822.0,530.0,193584936.0,11403927.0,21315.0
26,Развитие молодeжного самоуправления,244649018.0,56473505.0,5849.0,93088097.0,2503416.0,0.0
27,Общий итог,17255936595.06,5202238599.55,14229.0,4775506810.0,86202624.0,290926.0
